Apparent.Timestep;Time;Sum [kWh]
0;01/07/2016 0:00;0,00188928055730165
1;01/07/2016 0:01;0,00190847840509932
2;01/07/2016 0:02;0,0017671229804687
3;01/07/2016 0:03;0,00180836830886416
4;01/07/2016 0:04;0,00207945320038323
5;01/07/2016 0:05;0,00199019573017629
6;01/07/2016 0:06;0,00181670196485422
7;01/07/2016 0:07;0,00190307466441989
8;01/07/2016 0:08;0,00186031906553681
9;01/07/2016 0:09;0,00196494793993733
10;01/07/2016 0:10;0,0019476350429704
11;01/07/2016 0:11;0,00196808018607034
12;01/07/2016 0:12;0,00180733371599645
13;01/07/2016 0:13;0,00185480990689372
14;01/07/2016 0:14;0,00200315842961163
15;01/07/2016 0:15;0,0018149613154905
16;01/07/2016 0:16;0,00175417890662762
17;01/07/2016 0:17;0,00194503118649082
18;01/07/2016 0:18;0,00200597447572576
19;01/07/2016 0:19;0,00186194155698531
20;01/07/2016 0:20;0,00194764168337014
21;01/07/2016 0:21;0,00172662386355034
22;01/07/2016 0:22;0,00203136300267955
23;01/07/2016 0:23;0,00192622574065797
24;01/07/2016 0:24;0,00180896935832462
25;01/07/2016 0:25;0,00202289647158668
26;01/07/2016 0:26;0,00200190192098498
27;01/07/2016 0:27;0,00178131642186887
28;01/07/2016 0:28;0,0020075079747809
29;01/07/2016 0:29;0,00200303466780826
30;01/07/2016 0:30;0,00207878832374487
31;01/07/2016 0:31;0,00207089006726967
32;01/07/2016 0:32;0,0018513988225681
33;01/07/2016 0:33;0,00195762925524122
34;01/07/2016 0:34;0,00182825012495782
35;01/07/2016 0:35;0,00186472791236789
36;01/07/2016 0:36;0,00176375742455522
37;01/07/2016 0:37;0,00203405201743406
38;01/07/2016 0:38;0,00192634098679829
39;01/07/2016 0:39;0,00203611322656806
40;01/07/2016 0:40;0,0019117325682178
41;01/07/2016 0:41;0,00271068236577239
42;01/07/2016 0:42;0,00315853820978157
43;01/07/2016 0:43;0,00316038158466555
44;01/07/2016 0:44;0,00314853349517579
45;01/07/2016 0:45;0,00300658834395729
46;01/07/2016 0:46;0,00311097608081228
47;01/07/2016 0:47;0,00302944697820252
48;01/07/2016 0:48;0,00300633564684529
49;01/07/2016 0:49;0,00292741077461956
50;01/07/2016 0:50;0,00311306068905588
51;01/07/2016 0:51;0,00302613985368364
52;01/07/2016 0:52;0,0031127216612815
53;01/07/2016 0:53;0,00309437732662133
54;01/07/2016 0:54;0,00294999158874925
55;01/07/2016 0:55;0,00294774263889488
56;01/07/2016 0:56;0,00282121295204504
57;01/07/2016 0:57;0,00207065663515323
58;01/07/2016 0:58;0,00191387224596508
59;01/07/2016 0:59;0,00187500508321873
60;01/07/2016 1:00;0,0018568675167199
61;01/07/2016 1:01;0,00188382611316745
62;01/07/2016 1:02;0,0018828950560077
63;01/07/2016 1:03;0,00192045874665077
64;01/07/2016 1:04;0,00179135870542434
65;01/07/2016 1:05;0,00209526486319647
66;01/07/2016 1:06;0,00206811116966169
67;01/07/2016 1:07;0,00185232027726669
68;01/07/2016 1:08;0,00191752043266927
69;01/07/2016 1:09;0,00193974402083992
70;01/07/2016 1:10;0,0018667889569394
71;01/07/2016 1:11;0,0018945054954423
72;01/07/2016 1:12;0,00191818651225445
73;01/07/2016 1:13;0,00179061845721612
74;01/07/2016 1:14;0,0018722370554858
75;01/07/2016 1:15;0,00208187618021043
76;01/07/2016 1:16;0,00183226904949827
77;01/07/2016 1:17;0,00202184846178763
78;01/07/2016 1:18;0,00191453487686778
79;01/07/2016 1:19;0,00192802496637738
80;01/07/2016 1:20;0,00198256460064995
81;01/07/2016 1:21;0,00190715574046507
82;01/07/2016 1:22;0,00187837915372622
83;01/07/2016 1:23;0,0017975484652029
84;01/07/2016 1:24;0,00175808748901082
85;01/07/2016 1:25;0,0017961719861391
86;01/07/2016 1:26;0,00196002287940996
87;01/07/2016 1:27;0,00196717209649632
88;01/07/2016 1:28;0,00190025443425454
89;01/07/2016 1:29;0,00177381501379654
90;01/07/2016 1:30;0,00206254310122358
91;01/07/2016 1:31;0,00194226684967832
92;01/07/2016 1:32;0,00196850370159291
93;01/07/2016 1:33;0,00197859929621932
94;01/07/2016 1:34;0,00186062218514486
95;01/07/2016 1:35;0,0019121843805167
96;01/07/2016 1:36;0,00214054240368518
97;01/07/2016 1:37;0,00198386289350773
98;01/07/2016 1:38;0,00182617646949032
99;01/07/2016 1:39;0,00292040231100081
100;01/07/2016 1:40;0,00312606219225389
101;01/07/2016 1:41;0,00300750303631667
102;01/07/2016 1:42;0,00317066389832528
103;01/07/2016 1:43;0,00303973053576212
104;01/07/2016 1:44;0,00317222494999985
105;01/07/2016 1:45;0,00309862228220789
106;01/07/2016 1:46;0,00291459819661716
107;01/07/2016 1:47;0,00275390255770299
108;01/07/2016 1:48;0,00315744946643364
109;01/07/2016 1:49;0,00290794602078536
110;01/07/2016 1:50;0,00289643976684594
